"ACCESS","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68"
"FIPS","State","County","LACCESS_POP15","LACCESS_POP19","PCH_LACCESS_POP_15_19","PCT_LACCESS_POP15","PCT_LACCESS_POP19","LACCESS_LOWI15","LACCESS_LOWI19","PCH_LACCESS_LOWI_15_19","PCT_LACCESS_LOWI15","PCT_LACCESS_LOWI19","LACCESS_HHNV15","LACCESS_HHNV19","PCH_LACCESS_HHNV_15_19","PCT_LACCESS_HHNV15","PCT_LACCESS_HHNV19","LACCESS_SNAP15","LACCESS_SNAP19","PCH_LACCESS_SNAP_15_19","PCT_LACCESS_SNAP15","PCT_LACCESS_SNAP19","LACCESS_CHILD15","LACCESS_CHILD19","PCH_LACCESS_CHILD_15_19","PCT_LACCESS_CHILD15","PCT_LACCESS_CHILD19","LACCESS_SENIORS15","LACCESS_SENIORS19","PCH_LACCESS_SENIORS_15_19","PCT_LACCESS_SENIORS15","PCT_LACCESS_SENIORS19","LACCESS_WHITE15","LACCESS_WHITE19","PCH_LACCESS_WHITE_15_19","PCT_LACCESS_WHITE15","PCT_LACCESS_WHITE19","LACCESS_BLACK15","LACCESS_BLACK19","PCH_LACCESS_BLACK_15_19","PCT_LACCESS_BLACK15","PCT_LACCESS_BLACK19","LACCESS_HISP15","LACCESS_HISP19","PCH_LACCESS_HISP_15_19","PCT_LACCESS_HISP15","PCT_LACCESS_HISP19","LACCESS_ASIAN15","LACCESS_ASIAN19","PCH_LACCESS_ASIAN_15_19","PCT_LACCESS_ASIAN15","PCT_LACCESS_ASIAN19","LACCESS_AIAN15","LACCESS_AIAN19","PCH_LACCESS_AIAN_15_19","PCT_LACCESS_AIAN15","PCT_LACCESS_AIAN19","LACCESS_HOPI15","LACCESS_HOPI19","PCH_LACCESS_HOPI_15_19","PCT_LACCESS_HOPI15","PCT_LACCESS_HOPI19","LACCESS_MULTIR15","LACCESS_MULTIR19","PCH_LACCESS_MULTIR_15_19","PCT_LACCESS_MULTIR15","PCT_LACCESS_MULTIR19"
"01001","AL","Autauga","18092.661347758269","18503.225506471648","2.2692303657531738","33.154350280761719","33.906700134277337","6835.6424972422392","7105.6888029476922","3.9505622386932369","12.526144981384279","13.020998001098629","677.6727691801002","833.36028052087477","22.973848342895511","3.3513317108154301","4.1212615966796884","1822.5377164390191","1827.866266518442","0.29236981272697449","9.0130939483642578","9.0394458770751953","9721.5038038020466","9971.8834454987318","2.575523853302002","66.526405334472656","68.23980712890625","4245.6415260443446","4390.8567083933149","3.4203355312347412","64.858566284179688","67.076942443847656","28592.192358744102","28862.963035888759","0.94700914621353149","66.718452453613281","67.35028076171875","6645.1622988667132","7296.3799413512261","9.7998752593994141","68.911773681640625","75.6650390625","790.18784730306561","799.92405371299617","1.2321381568908689","60.319683074951172","61.062904357910163","188.45714275469911","176.31076304740739","-6.4451680183410636","39.758892059326172","37.196365356445313","161.6356471537043","171.04889831423941","5.8237471580505371","69.670539855957031","73.727973937988281","15.71104120218658","16.21232013439294","3.1906156539916992","49.097003936767578","50.663501739501953","866.71445238431704","901.1938586392389","3.9781737327575679","64.922431945800781","67.505157470703125"
"01003","AL","Baldwin","46400.350640590543","45789.046524464771","-1.3174557685852051","25.4576301574707","25.122238159179691","15459.848416231391","14465.97089678134","-6.4287662506103516","8.4820718765258789","7.9367794990539551","1394.1627662917131","1655.418160906506","18.739231109619141","1.905114412307739","2.2621183395385742","4874.8377794103953","4029.8068731290759","-17.334543228149411","6.6614346504211426","5.5067052841186523","30468.848828845319","30633.252696967829","0.53958016633987427","72.721488952636719","73.113876342773438","21633.863019480181","21827.207848560549","0.89371383190155029","70.772911071777344","71.405418395996094","114569.05452584451","115294.95514682691","0.63359224796295166","73.369743347167969","73.834609985351563","10709.565455250629","10621.01310475619","-0.82685285806655884","62.610729217529297","62.093032836914063","5400.587833769795","5695.0860804880876","5.4530777931213379","67.574920654296875","71.259834289550781","792.90632298538776","806.74419343281295","1.745208740234375","58.820945739746087","59.847492218017578","971.61562798922637","972.67911280356213","0.1094553023576736","79.902603149414063","79.990058898925781","51.305995536707208","50.698361603282407","-1.1843332052230831","57.647186279296882","56.964450836181641","4554.7107509066991","4695.1447519300682","3.083269357681274","71.682571411132813","73.892738342285156"
"01005","AL","Barbour","6683.9756905252034","5634.3627758241964","-15.703422546386721","24.343429565429691","20.52067947387695","3251.3625739964768","2864.6359459042892","-11.89429378509521","11.841652870178221","10.43317127227783","425.14492736692608","546.73087119913509","28.59870529174805","4.3293781280517578","5.5675239562988281","1357.6063699683509","1647.9010493845601","21.382831573486332","13.824912071228029","16.781068801879879","3752.6926995104018","3700.1720708289999","-1.3995451927185061","62.388904571533203","61.515743255615227","2560.0431744202729","2536.9013398575721","-0.90396267175674438","65.490997314453125","64.89898681640625","9924.1363036761359","9800.9867085571041","-1.2409099340438841","75.29693603515625","74.362571716308594","8196.6880987668155","8136.8397566806307","-0.73015272617340088","63.663597106933587","63.198757171630859","1055.5360033413031","1043.5219629135561","-1.1381933689117429","76.102088928222656","75.23590087890625","65.276831968084977","66.1331819941784","1.3118743896484379","61.006385803222663","61.806713104248047","101.1955826882451","101.1955826882452","1.123436738602324E-13","88.768058776855469","88.768058776855469","13.96178555136974","11.718572374642459","-16.066806793212891","48.144088745117188","40.408870697021477","896.00374059014302","889.05852700312073","-0.77513217926025391","77.778099060058594","77.175216674804688"
"01007","AL","Bibb","295.61442592179782","365.14066301693282","23.519229888916019","1.2900476455688481","1.593456983566284","164.9032952342705","102.17024277645081","-38.042327880859382","0.71963036060333252","0.44586622714996338","224.3881246199943","311.42987226282293","38.79071044921875","2.8214273452758789","3.9158792495727539","972.18555490610288","712.33917251984712","-26.72806358337402","12.224136352539061","8.9568614959716797","4252.4319057375014","4197.4333677719142","-1.293343186378479","81.761810302734375","80.704353332519531","2286.8919776487728","2261.6103137230748","-1.10550320148468","78.695526123046875","77.825546264648438","14775.82753634755","14503.110394688019","-1.84569787979126","85.011375427246094","83.44232177734375","3775.8722540159979","2693.5909976444109","-28.663078308105469","74.814193725585938","53.370140075683587","304.3460568055765","267.38227625761868","-12.14531230926514","74.962081909179688","65.857704162597656","16.57424254121706","16.574242541217082","1.071757496661808E-13","75.33746337890625","75.33746337890625","50.485582845008658","52.268784828207217","3.5321013927459721","78.883720397949219","81.669975280761719","3.91562053520465","5.5476862923824202","41.680896759033203","30.120157241821289","42.674510955810547","295.70256475829967","288.84282841550203","-2.3198094367980961","76.211997985839844","74.44403076171875"
"01009","AL","Blount","5855.9391605483652","3902.26607501136","-33.362251281738281","10.2158670425415","6.8076238632202148","2570.9004807588772","1440.04673370409","-43.986679077148438","4.4850153923034668","2.512206077575684","719.93144402444841","752.45035320492468","4.5169453620910636","3.336414098739624","3.487118244171143","2685.6973266754248","1803.8937756550631","-32.833316802978523","12.44646072387695","8.3598747253417969","12930.509997378171","12574.587540951699","-2.7525787353515629","91.666740417480469","89.143539428710938","7301.2221089306149","7115.250985425515","-2.5471231937408452","86.517623901367188","84.313911437988281","48763.477093322908","47500.610129909437","-2.589780330657959","91.888664245605469","89.508949279785156","552.11903133433555","543.98677348189563","-1.4729175567626951","72.551780700683594","71.483146667480469","3827.6079299229809","3601.85098074289","-5.8981208801269531","82.741203308105469","77.86102294921875","84.023054341385489","80.653153671893705","-4.010685920715332","71.8145751953125","68.934318542480469","279.70375423241381","271.45937064921969","-2.947541236877441","91.108711242675781","88.423248291015625","36.186184903332062","36.186184903332062","1.9635746682593851E-14","95.226799011230469","95.226799011230469","2526.71316405281","2415.4250220587228","-4.4044628143310547","83.362358093261719","79.690696716308594"
"01011","AL","Bullock","6099.9531343617509","7479.7499867033494","22.619794845581051","55.891086578369141","68.533531188964844","3192.4091151609618","3529.4992388790788","10.55911445617676","29.25058746337891","32.339191436767578","415.86130084073699","333.79285730241952","-19.73457145690918","11.104440689086911","8.9130268096923828","488.97735686359488","700.80096236753388","43.319717407226563","13.05680561065674","18.71297645568848","1370.160540467559","1871.5077445418231","36.590396881103523","56.385208129882813","77.016777038574219","1057.3065446344419","1118.2271196593849","5.7618651390075684","71.974578857421875","76.121658325195313","2083.267435685053","2179.781596390701","4.6328263282775879","83.0980224609375","86.947807312011719","5162.9124135727507","5934.6260162474391","14.94725322723389","67.348190307617188","77.414894104003906","113.5423269321342","614.2207017817874","440.96188354492188","14.612912178039551","79.050285339355469","3.5227506279934402","3.8944293795375402","10.55081081390381","17.613752365112301","19.472146987915039","17.000000285339731","17.263390398008031","1.5493535995483401","73.913047790527344","75.058219909667969","0","42.999999850988402","-9999","0","100","124.0519498916036","530.70018110521085","327.80477905273438","18.939228057861332","81.022926330566406"
"01013","AL","Butler","2478.01401142952","2508.3850100097579","1.2256184816360469","11.82992362976074","11.974912643432621","1414.1291133193481","1449.173566119973","2.478164911270142","6.7509865760803223","6.9182868003845206","320.1683010409385","327.74627004738738","2.3668704032897949","3.7706782817840581","3.859925508499146","1306.982062043784","957.9047757876067","-26.708652496337891","15.392557144165041","11.281413078308111","3004.039682060848","3012.9077928367979","0.29520618915557861","59.415340423583977","59.590740203857422","2122.73317759579","2131.388831214068","0.40775984525680542","60.840732574462891","61.088817596435547","8280.5413498220805","8305.8119763298128","0.30518084764480591","72.6427001953125","72.864395141601563","4450.3848606261172","4465.4217532562807","0.33787846565246582","48.932212829589837","49.097545623779297","97.777745436800302","98.316424321306727","0.55092179775238037","51.192535400390632","51.474567413330078","107.2189804739652","109.1390620894135","1.790803790092468","60.575695037841797","61.660488128662109","53.445870791481141","53.792842109606887","0.64920133352279663","89.076454162597656","89.654739379882813","1.7843100929749161","1.7843100929749161","0","25.490144729614261","25.490144729614261","124.611602337636","125.1782979681867","0.4547695517539978","59.622776031494141","59.8939208984375"
"01015","AL","Calhoun","34221.446713327743","42575.2988115962","24.411159515380859","28.861322402954102","35.906703948974609","14477.22916570997","18257.803111903391","26.113933563232418","12.209652900695801","15.398073196411129","1235.289629494612","1384.829459637185","12.105648994445801","2.6098954677581792","2.9258403778076172","4332.7314192823142","4734.6195999087304","9.2756309509277344","9.154109001159668","10.00321102142334","15128.234328015251","16630.654403488879","9.9312324523925781","55.770236968994141","61.308906555175781","9286.1348847563695","10095.13605551189","8.7119255065917969","54.656475067138672","59.418106079101563","55009.060129209844","59153.163180604461","7.5334916114807129","61.919246673583977","66.583930969238281","8514.0502048308263","11085.9160796587","30.20731353759766","34.919406890869141","45.467624664306641","1661.730337118493","1870.859754595625","12.585039138793951","42.685085296630859","48.057018280029297","413.52561692744717","441.33166975180819","6.7241425514221191","48.937942504882813","52.228599548339837","295.43759014295938","327.50196538756558","10.85318088531494","54.710666656494141","60.648513793945313","58.684934994583401","63.431343318950283","8.0879497528076172","61.130142211914063","66.074317932128906","1743.5702801974719","1937.105298135918","11.09992599487305","45.065139770507813","50.067337036132813"
"01017","AL","Chambers","6793.9899736288316","6745.0928044865723","-0.71971213817596436","19.856758117675781","19.713846206665039","3534.1473535843061","2772.4374986104308","-21.552860260009769","10.32923412322998","8.1029882431030273","730.20106673242447","607.94689137885189","-16.742536544799801","5.2408027648925781","4.3633594512939453","1518.7613803471249","1224.8511136606789","-19.351970672607418","10.90046215057373","8.7910079956054688","4823.9820315582847","4809.1821696484703","-0.30679762363433838","62.624717712402337","62.432586669921882","3496.8346563646869","3491.1189886186612","-0.16345261037349701","61.283466339111328","61.183296203613281","13896.167330775521","13898.99838480275","2.0372912287712101E-2","69.093910217285156","69.107986450195313","7452.9746310353949","7379.0231738516086","-0.99224084615707397","56.219165802001953","55.661334991455078","272.57049195457012","266.93859163520631","-2.0662178993225102","50.852703094482422","49.801975250244141","143.41256523942579","143.49590148096911","5.8109443634748459E-2","85.3646240234375","85.414230346679688","53.419192756476498","53.419192756476598","1.995189495389293E-13","77.419120788574219","77.419120788574219","0.99999999615829405","0.99999999615829405","0","10","10","295.87228963099739","288.87568063190542","-2.3647394180297852","49.394371032714837","48.226322174072273"
"01019","AL","Cherokee","3518.586386153228","3505.9966182694152","-0.35780754685401922","13.53875255584717","13.490309715271","1526.390176481249","1301.6986336450241","-14.72045230865479","5.8732161521911621","5.0086522102355957","299.88692283548551","360.69876827143412","20.27825927734375","2.8221995830535889","3.394492387771606","1607.9103469796621","1560.5777898339679","-2.9437310695648189","15.13184928894043","14.686408996582029","5148.0714694673661","5155.9683864831504","0.1533956378698349","92.491401672363281","92.633277893066406","4282.0697562719779","4294.6371985249807","0.29348990321159357","92.067718505859375","92.337928771972656","22519.404201335659","22555.166176860628","0.15880516171455381","93.515235900878906","93.663742065429688","882.85516678044166","881.5876253495519","-0.14357297122478491","73.084037780761719","72.979110717773438","299.93329489648721","301.03985287160299","0.36893469095230103","93.729156494140625","94.074951171875","46.108234576451522","46.10823457645165","2.7738578036069772E-13","85.3856201171875","85.3856201171875","130.09531944838659","129.97524906543441","-9.2294164001941681E-2","96.366905212402344","96.277961730957031","1.00000000178988","1.00000000178989","9.9920072216264089E-13","100","100","461.71842947471379","464.32316575510862","0.56413954496383667","90.533027648925781","91.043754577636719"
"01021","AL","Chilton","4707.3872208957828","4445.7102137100328","-5.5588588714599609","10.78612232208252","10.18653678894043","2072.73893367958","1907.0033657999561","-7.995969295501709","4.7493042945861816","4.3695516586303711","641.11076841903127","619.58144779690599","-3.3581280708312988","3.871909379959106","3.741885900497437","2469.0012780668822","2481.9100750388038","0.52283477783203125","14.911229133605961","14.98919010162354","9364.5489586738877","9346.599223836165","-0.1916775107383728","85.442962646484375","85.279190063476563","4841.3895639535867","4810.447742232207","-0.63911032676696777","81.76641845703125","81.243843078613281","31921.211098685959","31863.003338351991","-0.18234822154045099","86.947975158691406","86.7894287109375","2794.3271289530549","2746.2769392621631","-1.7195620536804199","66.059745788574219","64.923805236816406","2971.5996319947681","2969.2996236717322","-7.7399671077728271E-2","86.888877868652344","86.821624755859375","103.2003808279685","102.5685084869319","-0.61227715015411377","79.384910583496094","78.898849487304688","141.10002439067051","140.87760505423259","-0.15763238072395319","91.032272338867188","90.888778686523438","53.000000426545661","48.23349232412879","-8.9934110641479492","96.363639831542969","87.697257995605469","2000.9409252170051","2001.8589043752399","4.5877374708652503E-2","84.785629272460938","84.824531555175781"
"01023","AL","Choctaw","2702.8951988919862","3372.2061346310902","24.762741088867191","19.502815246582031","24.332246780395511","1010.379176476578","1807.8061339396561","78.923538208007813","7.2904191017150879","13.04427528381348","423.03662363014303","474.20149122237501","12.09466648101807","7.2116708755493164","8.0838985443115234","1214.234588485295","1274.3565592833211","4.9514293670654297","20.699533462524411","21.724454879760739","2805.8282431853768","2806.7767179810462","3.3803738653659821E-2","89.329139709472656","89.359336853027344","2151.6374674193412","2154.342397259089","0.12571494281291959","85.416336059570313","85.523712158203125","6665.1627919127386","6678.4417252995891","0.19922894239425659","86.213462829589844","86.385223388671875","5563.9290439576371","5560.5350134897526","-6.1000607907772057E-2","92.54705810546875","92.4906005859375","61.803933705301382","61.820034599611994","2.6051569730043411E-2","84.662925720214844","84.684982299804688","7.91062174723446","7.9106217472344804","2.4700871231221611E-13","65.921844482421875","65.921844482421875","14.052723999782749","14.052723999782749","0","78.070686340332031","78.070686340332031","0","0","-9999","-9999","-9999","65.322778649441318","65.303446109045311","-2.959540486335754E-2","75.956718444824219","75.934242248535156"
"01025","AL","Clarke","8757.3548175560554","10185.64940438337","16.309658050537109","33.899875640869141","39.428829193115227","4187.2667526468822","4740.444249058557","13.210945129394529","16.208984375","18.350343704223629","943.72132591843183","892.49693472102649","-5.427915096282959","9.129547119140625","8.6340036392211914","1579.9153113231259","1605.3534077416109","1.610092401504517","15.284079551696779","15.530167579650881","5022.4544471602649","5084.3134737107839","1.2316492795944209","78.6109619140625","79.579177856445313","3114.4691562166331","3166.953262188877","1.68517017364502","74.615936279296875","75.873344421386719","10790.433592454299","10921.07485908138","1.210713744163513","76.691070556640625","77.619583129882813","9108.4448452772886","9223.7942027882127","1.266400098800659","80.349723815917969","81.367271423339844","199.57480469313731","201.10788479415081","0.76817315816879272","73.643836975097656","74.209548950195313","51.161857215625972","51.161857215626277","6.1107792003606276E-13","66.4439697265625","66.4439697265625","69.873238092166616","69.884709833999665","1.641793362796307E-2","67.838096618652344","67.849235534667969","1.9999999135024999","1.9999999135025099","4.9960036108132044E-13","49.999996185302727","49.999996185302727","174.26489002808131","183.06065762593579","5.0473551750183114","71.713943481445313","75.333602905273438"
"01027","AL","Clay","642.74091991266607","978.46540118906205","52.233249664306641","4.6134147644042969","7.0231509208679199","324.18090491464858","414.42375687658978","27.837188720703129","2.3268799781799321","2.974617719650269","192.8890386522248","133.8106102891407","-30.628192901611332","3.4019231796264648","2.3599755764007568","661.1121421253539","636.63785801141","-3.7019867897033691","11.65982627868652","11.22818088531494","2377.8856470391038","2377.8856470391038","0","75.632492065429688","75.632492065429688","1733.7562728487819","1733.756272848784","1.1803061241051629E-13","70.794456481933594","70.794456481933594","9322.6038151951198","9322.6038151951507","3.3169723478304602E-13","81.920944213867188","81.920944213867188","928.50696411147169","928.50696411147374","2.2039286357283111E-13","44.942253112792969","44.942253112792969","210.50839763050851","210.5083976305086","2.7002922467489479E-14","52.758995056152337","52.758995056152337","6.3632321728855299","6.3632321728855503","3.210334558953476E-13","26.513467788696289","26.513467788696289","43.822332088868201","43.822332088868322","2.7564089248935391E-13","79.676963806152344","79.676963806152344","0","0","-9999","-9999","-9999","275.866088774003","275.86608877400317","6.1816315412820122E-14","67.780364990234375","67.780364990234375"
